江西本地,#genre#
福州影视,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
安徽影视,http://zbbf2.ahtv.cn/live/756.m3u8
海西影视,http://stream.haixitv.cn/1/sd/live.m3u8
电影,https://sf1-ttcdn-tos.pstatp.com/obj/tos-cn-v-0000/c51103da90f442339e892f8711ab0998
古天乐影院,http://117.148.179.176/PLTV/88888888/224/3221231645/index.m3u8
成龙作品集,http://117.148.179.163/PLTV/88888888/224/3221231687/index.m3u8
乐视_综艺节目,http://api.idianshijia.com/gslb/live?stream_id=lsloop_zongyi
黑莓电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225718/index.m3u8
酷狗李连杰,http://tx.liveplay.live.fanxing.com/live/fx_hifi_1789509948_avc.m3u8
酷狗惊悚影院,http://tx.liveplay.live.fanxing.com/live/fx_hifi_1308614369_avc.m3u8
酷狗玄幻影院,http://tx.liveplay.live.fanxing.com/live/fx_hifi_1709548737_avc.m3u8
酷狗谍战重影,http://tx.liveplay.live.fanxing.com/live/fx_hifi_336261891_avc.m3u8
酷狗笑傲江湖,http://tx.liveplay.live.fanxing.com/live/fx_hifi_290507595_avc.m3u8
007,https://cdn2.bzjupinhang.com:65/20211111/Eno8ZT4P/index.m3u8
中国功夫,http://ott.js.chinamobile.com/TVOD/3/224/3221227530/index.m3u8
武搏世界,http://ott.js.chinamobile.com/TVOD/3/224/3221227533/index.m3u8
松鼠科幻,http://106.53.212.251/daili/bili.php?id=6837959
盜墓方法論,http://117.148.179.164/PLTV/88888888/224/3221231652/index.m3u8
試膽大會,http://117.148.179.166/PLTV/88888888/224/3221231672/index.m3u8
军旅剧场,http://117.148.179.145/PLTV/88888888/224/3221231585/index.m3u8
SNH48剧场公演,http://117.148.179.139/PLTV/88888888/224/3221231622/index.m3u8
周星驰2,http://dyscdnali3.douyucdn.cn/live/122402rK7MO9bXSq.flv?uuid=
4K花园 U,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227896/index.m3u8
相声专场,http://bp-caster.bestv.com.cn/512/1/video.m3u8
电影-1,http://bp-caster.bestv.com.cn/494/1/video.m3u8
电影-2,http://bp-caster.bestv.com.cn/532/1/video.m3u8
电影-5,http://bp-caster.bestv.com.cn/480/1/video.m3u8
七彩戏剧,https://bp-caster.bestv.com.cn/250/1/video.m3u8
張國榮,http://117.148.179.177/PLTV/88888888/224/3221231790/index.m3u8
郭富城,http://117.148.179.152/PLTV/88888888/224/3221231688/index.m3u8
吳京,http://117.148.179.183/PLTV/88888888/224/3221231564/index.m3u8
楊冪,http://117.148.179.183/PLTV/88888888/224/3221231556/index.m3u8
葛優作品集,http://117.148.179.139/PLTV/88888888/224/3221231754/index.m3u8
橙子1台,http://103.140.229.13/BOBO/bibi.php?id=23318788
橙子2台,http://103.140.229.13/BOBO/bibi.php?id=21571201









儿童频道,#genre#

金鹰卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221225585/iptv7983.smil
哈哈动画,rtsp://115.153.254.81/PLTV/88888888/224/3221225583/iptv7982.smil
卡酷动画,rtsp://115.153.254.81/PLTV/88888888/224/3221225566/iptv101695.smil
嘉佳卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221225588/10000100000000060000000000140157_0.smil
中国教育4,http://39.135.138.59:18890/PLTV/88888910/224/3221225937/index.m3u8
CNTV动画王国,http://183.207.249.7/PLTV/3/224/3221225555/index.m3u8
福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
哈哈炫动,http://stream1.jlntv.cn/shpd/sd/live.m3u8?_upt=212b47d81531576020
黑莓动画,http://39.135.138.59:18890/PLTV/88888910/224/3221225672/index.m3u8
优漫卡通[640*360],http://223.110.245.147/ott.js.chinamobile.com/PLTV/3/224/3221226799/index.m3u8
上海哈哈炫动,http://dl.zhoujie218.top/dl/gdtv2.php?migu/651638619
CETV2,http://dl.zhoujie218.top/dl/gdtv2.php?migu/649532169
山东教育,http://dl.zhoujie218.top/dl/gdtv2.php?migu/609154353
北京卡酷少儿,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s10/index.m3u8
甘肃少儿,https://hls.gstv.com.cn/49048r/922k96.m3u8
河北少儿,https://live6.plus.hebtv.com/sekjx/playlist.m3u8
浙江少儿,https://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
优漫卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221226982/index.m3u8
优漫卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221227577/index.m3u8
优漫卡通,http://223.110.243.171/PLTV/3/224/3221226982/index.m3u8
金鹰卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221227630/index.m3u8
金鹰卡通,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221226303/index.m3u8
卡酷卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221226305/index.m3u8
卡酷卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221227566/index.m3u8
炫动卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221227586/index.m3u8
黑莓动画,http://183.207.249.7/PLTV/3/224/3221225555/index.m3u8
云朵妈妈,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d8ad434c6b08421a927557a4d98da65c/1200.m3u8
熊大熊二,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1733da751de64e6e910abda889d87a26/1200.m3u8
熊大过年,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7ae265653fe149069c3b53e31caaf060/1200.m3u8
猪侠英雄,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0f03b08bc7b042358144617000fd2931/1200.m3u8
空中课堂四年级,http://dl.zhoujie218.top/dl/gdtv2.php?migu/670427102
空中课堂六年级,http://dl.zhoujie218.top/dl/gdtv2.php?migu/670427112
空中课堂七年级,http://dl.zhoujie218.top/dl/gdtv2.php?migu/670427116
空中课堂八年级,http://dl.zhoujie218.top/dl/gdtv2.php?migu/670427201
空中课堂九年级,http://dl.zhoujie218.top/dl/gdtv2.php?migu/670427227
空中课堂高一,http://dl.zhoujie218.top/dl/gdtv2.php?migu/670427199
空中课堂高三,http://dl.zhoujie218.top/dl/gdtv2.php?migu/670427221
熊猫频道01,http://dl.zhoujie218.top/dl/gdtv2.php?migu/609158151
熊猫频道1,http://dl.zhoujie218.top/dl/gdtv2.php?migu/608933610
熊猫频道7,http://dl.zhoujie218.top/dl/gdtv2.php?migu/609169286
熊猫频道9,http://dl.zhoujie218.top/dl/gdtv2.php?migu/609169226
熊猫频道10,http://dl.zhoujie218.top/dl/gdtv2.php?migu/609169285







其它频道,#genre#

都市剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221225733/iptv97941.smil
法治天地,rtsp://115.153.254.81/PLTV/88888888/224/3221225607/iptv7994.smil
生活实尚,rtsp://115.153.254.81/PLTV/88888888/224/3221225603/iptv7992.smil
金色频道,rtsp://115.153.254.81/PLTV/88888888/224/3221225621/iptv8001.smil
国学频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226797/59781463.smil
七彩戏剧,rtsp://115.153.254.81/PLTV/88888888/224/3221225568/iptv101727.smil
动漫秀场,rtsp://115.153.254.81/PLTV/88888888/224/3221225613/iptv7997.smil
旅游风云,rtsp://115.153.254.81/PLTV/88888888/224/3221225615/iptv7998.smil
极速汽车,rtsp://115.153.254.81/PLTV/88888888/224/3221225619/iptv8000.smil
东方财经,rtsp://115.153.254.81/PLTV/88888888/224/3221225609/iptv7995.smil
女性靓妆,rtsp://115.153.254.81/PLTV/88888888/224/3221226817/59781891.smil
汽车摩托,rtsp://115.153.254.81/PLTV/88888888/224/3221226819/59781852.smil




港台频道,#genre#
鳳凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8$JS1080P
鳳凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
鳳凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804
鳳凰中文,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8$JS1080P
鳳凰中文,http://117.169.120.138:8080/live/fhchinese/index.m3u8
鳳凰資訊,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8$JS1080P
鳳凰衛視,http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰中文,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
香港C+,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-U1-NO/03.m3u8
開電視,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
香港佛陀教育,http://de1.amtb.de/liveedge/_definst_/livetv/playlist.m3u8
凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8$JS1080P
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8$JS1080P
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视 HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视 HKS,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
凤凰中文,http://223.110.245.138/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://223.110.245.136/PLTV/3/224/3221226923/index.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰资讯,http://iptv.tvfix.org/hls/fhzx.m3u8
